Source IP,Destination IP,Protocol,Length,Anomaly,Port
192.168.0.53,20.189.173.14,TCP,134,1,
192.168.0.53,20.189.173.14,TCP,404,1,
192.168.0.53,20.189.173.14,TCP,1110,1,
192.168.0.53,20.189.173.14,TCP,85,1,
40.104.66.178,192.168.0.53,TCP,529,1,
192.168.0.53,40.104.66.178,TCP,54,1,
40.104.66.178,192.168.0.53,TCP,116,1,
192.168.0.53,40.104.66.178,TCP,54,1,
40.104.66.178,192.168.0.53,TCP,85,1,
192.168.0.53,40.104.66.178,TCP,54,1,
192.168.0.53,40.104.66.178,TCP,85,1,
40.104.66.178,192.168.0.53,TCP,54,1,
40.104.66.178,192.168.0.53,TCP,1198,1,
40.104.66.178,192.168.0.53,TCP,327,1,
40.104.66.178,192.168.0.53,TCP,85,1,
192.168.0.53,40.104.66.178,TCP,54,1,
192.168.1.100,10.0.0.5,Port Scan,61,1,
192.168.1.100,10.0.0.5,Malware,540,1,
192.168.1.100,10.0.0.5,Malware,1205,1,
192.168.1.100,10.0.0.5,Port Scan,100,1,
192.168.1.100,10.0.0.5,DDoS,1819,-1,
192.168.1.100,10.0.0.5,Port Scan,99,1,80.0
192.168.0.1,192.168.0.53,17,381,1,1900.0
192.168.0.53,192.168.0.1,6,66,1,61969.0
192.168.0.1,192.168.0.53,6,62,1,43212.0
192.168.0.53,192.168.0.1,6,54,1,61969.0
192.168.0.53,192.168.0.1,6,251,1,61969.0
192.168.0.1,192.168.0.53,6,54,1,43212.0
192.168.0.1,192.168.0.53,6,1514,1,43212.0
192.168.0.1,192.168.0.53,6,1291,1,43212.0
192.168.0.53,192.168.0.1,6,54,1,61969.0
192.168.0.53,192.168.0.1,6,54,1,61969.0
192.168.0.1,192.168.0.53,6,54,1,43212.0
192.168.0.53,192.168.0.1,6,54,1,61969.0
192.168.0.1,192.168.0.53,6,54,1,43212.0
13.69.109.131,192.168.0.53,6,54,1,443.0
192.168.0.53,13.69.109.131,6,54,1,49228.0
35.171.81.163,192.168.0.53,6,78,1,443.0
192.168.0.53,35.171.81.163,6,82,1,56878.0
20.192.44.82,192.168.0.53,6,81,1,443.0
192.168.0.53,20.192.44.82,6,54,1,54319.0
35.171.81.163,192.168.0.53,6,54,1,443.0
192.168.0.53,34.224.145.205,6,55,1,53498.0
192.168.0.53,239.255.255.250,17,143,1,65265.0
192.168.0.1,192.168.0.53,17,381,1,1900.0
34.224.145.205,192.168.0.53,6,66,1,443.0
192.168.0.53,142.251.222.142,17,1288,-1,52185.0
192.168.0.53,142.251.222.142,17,279,1,52185.0
142.251.222.142,192.168.0.53,17,69,1,443.0
192.168.0.53,142.251.222.142,17,74,1,52185.0
142.251.222.142,192.168.0.53,17,64,1,443.0
192.168.0.53,142.251.222.142,17,75,1,52185.0
142.251.222.142,192.168.0.53,17,428,-1,443.0
142.251.222.142,192.168.0.53,17,210,1,443.0
192.168.0.53,142.251.222.142,17,79,1,52185.0
192.168.0.53,142.251.222.142,17,75,1,52185.0
142.251.222.142,192.168.0.53,17,66,1,443.0
192.168.0.53,142.250.205.74,17,71,1,53157.0
142.250.205.74,192.168.0.53,17,68,1,443.0
192.168.0.53,239.255.255.250,17,143,1,65265.0
192.168.0.1,192.168.0.53,17,381,1,1900.0
192.168.0.53,20.192.44.82,6,85,1,54319.0
